"Table 5: Drug-related deaths by sex, age and underlying cause of death 1 , Scotland, 2016",,,,,,,,,,,,
,,,,,,,,,,,,
,All causes of death,Underlying cause of death (ICD10 codes),,,,,,,,,,
,,Drug abuse,Accidental poisoning,Intentional self-poisoning,"Assault by drugs, etc.",Undetermined intent,,,,,,
,,,,,,,,,,,,
,,"(F11-F16, F19)",(X40-X44),(X60-X64),(X85),(Y10-Y14),,,,,,
,,,,,,,,,,,,
(i) New coding rules,,,,,,,,,,,,
,,,,,,,,,,,,
All deaths,867         ,32         ,729         ,48         ,0         ,58         ,,,,,,
,,,,,,,,,,,,
Males,592         ,23         ,516         ,18         ,0         ,35         ,,,,,,
Females,275         ,9         ,213         ,30         ,0         ,23         ,,,,,,
,,,,,,,,,,,,
Under 25,42         ,1         ,32         ,4         ,0         ,5         ,,,,,,
25-34,199         ,5         ,178         ,6         ,0         ,10         ,,,,,,
35-44,327         ,18         ,285         ,6         ,0         ,18         ,,,,,,
45-54,213         ,7         ,178         ,12         ,0         ,16         ,,,,,,
55 and over,86         ,1         ,56         ,20         ,0         ,9         ,,,,,,
,,,,,,,,,,,,
Males,,,,,,,,,,,,
Under 25,25         ,1         ,18         ,2         ,0         ,4         ,,,,,,
25-34,151         ,3         ,138         ,4         ,0         ,6         ,,,,,,
35-44,237         ,15         ,208         ,2         ,0         ,12         ,,,,,,
45-54,131         ,4         ,112         ,6         ,0         ,9         ,,,,,,
55 and over,48         ,0         ,40         ,4         ,0         ,4         ,,,,,,
,,,,,,,,,,,,
Females,,,,,,,,,,,,
Under 25,17         ,0         ,14         ,2         ,0         ,1         ,,,,,,
25-34,48         ,2         ,40         ,2         ,0         ,4         ,,,,,,
35-44,90         ,3         ,77         ,4         ,0         ,6         ,,,,,,
45-54,82         ,3         ,66         ,6         ,0         ,7         ,,,,,,
55 and over,38         ,1         ,16         ,16         ,0         ,5         ,,,,,,
,,,,,,,,,,,,
(ii) Old coding rules,,,,,,,,,,,,
,,,,,,,,,,,,
All deaths,867         ,663         ,129         ,48         ,0         ,27         ,,,,,,
,,,,,,,,,,,,
Males,592         ,481         ,79         ,18         ,0         ,14         ,,,,,,
Females,275         ,182         ,50         ,30         ,0         ,13         ,,,,,,
,,,,,,,,,,,,
Under 25,42         ,30         ,6         ,4         ,0         ,2         ,,,,,,
25-34,199         ,167         ,23         ,6         ,0         ,3         ,,,,,,
35-44,327         ,269         ,45         ,6         ,0         ,7         ,,,,,,
45-54,213         ,165         ,28         ,12         ,0         ,8         ,,,,,,
55 and over,86         ,32         ,27         ,20         ,0         ,7         ,,,,,,
,,,,,,,,,,,,
Males,,,,,,,,,,,,
Under 25,25         ,19         ,2         ,2         ,0         ,2         ,,,,,,
25-34,151         ,128         ,17         ,4         ,0         ,2         ,,,,,,
35-44,237         ,197         ,34         ,2         ,0         ,4         ,,,,,,
45-54,131         ,109         ,12         ,6         ,0         ,4         ,,,,,,
55 and over,48         ,28         ,14         ,4         ,0         ,2         ,,,,,,
,,,,,,,,,,,,
Females,,,,,,,,,,,,
Under 25,17         ,11         ,4         ,2         ,0         ,0         ,,,,,,
25-34,48         ,39         ,6         ,2         ,0         ,1         ,,,,,,
35-44,90         ,72         ,11         ,4         ,0         ,3         ,,,,,,
45-54,82         ,56         ,16         ,6         ,0         ,4         ,,,,,,
55 and over,38         ,4         ,13         ,16         ,0         ,5         ,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Footnote,,,,,,,,,,,,
"1) The coding rules were changed with effect from the start of 2011, as explained in paragraph 2.6 of the commentary. Briefly, 'drug abuse' deaths from 'acute intoxication' were previously counted under 'mental and behavioural disorders due to psychoactive substance use' (unless they were known to be due to intentional self-harm or assault). They are now counted under the appropriate 'poisoning' category. For example, if the cause of death of a known drug abuser was given as 'adverse effects of heroin' (and it was not intentional self-harm or assault), the underlying cause of death would be coded as follows:                                                                                                                                                (a) up to 2010 - as 'F11 - mental and behavioural disorders due to use of opioids'.                                                                                                       (b) from 2011 - the appropriate 'poisoning' category, such as 'X42 - accidental poisoning by and exposure to narcotics and psychodysleptics (hallucinogens) not elsewhere classified'.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"National Records of Scotland has estimated what the figures for 2016 would have been, had the data been coded using the old rules.",,,,,,,,,,,,
,,,,,,,,,,,,
© Crown Copyright 2017,,,,,,,,,,,,
